2016-02-01 18:13:28,622 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:13:30,732 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:30,755 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:13:30,767 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:30,779 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:13:30,788 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:13:30,789 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:13:30,807 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:40,289 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:13:42,282 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:42,294 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:13:42,299 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:13:42,313 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:13:42,313 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:13:42,314 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:13:42,353 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:18:29,447 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:18:31,924 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:18:31,945 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:18:31,963 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:18:31,978 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:18:31,987 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:18:31,987 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:18:32,013 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:19:24,302 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:19:26,284 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:19:26,297 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:19:26,302 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:19:26,315 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:19:26,316 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:19:26,316 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:19:26,337 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:21:22,399 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-01 18:21:24,151 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:21:26,191 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/main/java
2016-02-01 18:21:26,224 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/test/java
2016-02-01 18:21:29,408 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for fabricaweb
2016-02-01 18:21:29,756 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 7 sec
2016-02-01 18:21:31,660 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:21:31,694 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:21:31,725 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:21:31,747 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:21:31,748 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:21:31,756 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:21:31,799 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:23:11,237 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-01 18:23:13,094 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.pl.fabricadeprogramador:fabricaweb:1 @ C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\pom.xml.
2016-02-01 18:23:15,202 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/main/java
2016-02-01 18:23:15,204 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/test/java
2016-02-01 18:23:15,636 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for fabricaweb
2016-02-01 18:23:15,663 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-02-01 18:23:16,277 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:23:16,290 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:23:16,305 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:23:16,318 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:23:16,326 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:23:16,326 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:23:16,339 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:23:22,376 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb
2016-02-01 18:23:22,385 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
